No,Ulasan,Translate_Ulasan,VADER A,VADER B,MANUAL
1,Good..,Good..,netral,positif,positif
2,Top up shoppeepay dari Octo mobil dari semalam tidak bisa .gagal terus!!!!,You can't top up shopeepay from Octo mobile from last night. It keeps failing!!!!,negatif,netral,negatif
3,Cepat dan gratis biaya tranfernya.,Fast and free transfer fees.,positif,positif,positif
4,Aplikasinya ngelag,The application is lagging,negatif,negatif,negatif
5,Oke,Too much,netral,netral,netral
6,Terbaik,The best,positif,positif,positif
7,Gajelas banget ni aplikasi tiap di klik tiba2 keluar sendiri parah,"It's really unclear, every time the application is clicked, it suddenly exits by itself",negatif,netral,negatif
8,Apik,Good,positif,positif,positif
9,"gak bisa menyelesaikan masalah dengan cepat, cimb sampah niaga","can't solve the problem quickly, commerce trash cimb",positif,netral,negatif
10,"hati-hati buka tabungan xtra saver, saldo di bawah minimum, langsung di kuras Rp 250.000 setiap bulan sampe ludes, tanpa pemberitahuan!!!","Be careful when opening an Xtra Saver savings account, the balance is below the minimum, IDR 250,000 will be immediately drained every month until it's sold out, without notification!!!",negatif,netral,negatif
11,"Aplikasi tidak bisa dibuka, selalu keluar sendiri","The application can't be opened, it always exits itself",netral,netral,negatif
12,Bagus saya suka semua transaksi lancar,Good I like all transactions smooth,positif,positif,positif
13,Goddd,the pit,netral,netral,positif
14,"Saya mau tanya, saya ojol pakai rekening ponsel CIMB niaga.. tapi di beberapa ATM CIMB niaga tools rekening ponsel sudah berganti jadi Octo mobile. Bagaimana cara saya tarik tunai di ATM?? Sedangkan saya download Octo mobile, saya login dengan nomor handphone yang saya daftarkan untuk rekening ponsel. Tidak dapat kode verifikasi... Tolong di bantu.","I want to ask, I ojol using a CIMB Niaga cellphone account... but at several CIMB Niaga ATMs the cellphone account tool has been changed to Octo mobile. How do I withdraw cash at an ATM?? Meanwhile, I downloaded Octo mobile, I logged in with the cellphone number that I registered for the cellphone account. Can't get verification code... Please help.",positif,netral,netral
15,penggunaan mudah,easy use,positif,positif,positif
16,memudahkan transaksi,make transactions easier,positif,positif,positif
17,Cepat dan mudah,Fast and easy,positif,positif,positif
18,Simple dan gampang dimengerti,Simple and easy to understand,positif,positif,positif
19,Memudahkan,Simplify,netral,netral,positif
20,lebih cepat,faster,netral,netral,positif
21,"tolong lah perbarui, ,di xiaomi mi8 ga bisa di buka ini palikasi, padahal hp memenuhi smua syarat loh","Please update, on Xiaomi Mi8 I can't open this application, even though the cellphone meets all the requirements, you know.",positif,netral,negatif
22,Mantap,Great,positif,positif,positif
23,Very nice,Very nice,positif,positif,positif
24,Terbaik deh.. Sangat membantu,The best... Very helpful,positif,positif,positif
25,baguss,nice,positif,positif,positif
26,Octo Mobile by CIMB NIAGA aplication is the best aplication for me,Octo Mobile by CIMB NIAGA application is the best application for me,positif,positif,positif
27,Terimakasih untuk pelayanannya yang sudah lebih baik,Thank you for the better service,positif,positif,positif
28,Mudah dan cepat,Easy and fast,positif,positif,positif
29,ðŸ‘ðŸ‘,👍👍,netral,netral,positif
